car,price,body,mileage,engV,engType,registration,year,model,drive
Audi,4600,vagon,242,99.99,Diesel,no,2004,A6,front
BMW,24500,crossover,170,4.8,Gas,yes,2007,X5,full
BMW,11500,sedan,193,4.4,Petrol,yes,2000,740,rear
BMW,29900,crossover,235,3,Diesel,yes,2009,X5,full
Audi,24996,sedan,98,3.2,Petrol,yes,2009,A5,full
Audi,6800,sedan,225,2.4,Gas,yes,1998,A6,front
Hyundai,10500,crossover,120,NA,Other,yes,2007,Tucson,full
BMW,66900,crossover,70,3,Diesel,yes,2014,X5,full
BMW,104999,crossover,2,3,Diesel,yes,2016,X5,full
Audi,39000,sedan,18,1.8,Other,yes,2015,A5,front
Audi,1950,vagon,210,1.8,Gas,no,1996,A4,front
Audi,0,crossover,65,3,Diesel,yes,2013,A6,full
BMW,28000,sedan,170,2,Diesel,yes,2011,520,rear
Audi,1950,sedan,320,19,Other,no,1996,A4,
Audi,25500,sedan,140,2.8,Petrol,yes,2012,A6,front
Audi,2200,sedan,250,NA,Diesel,no,2001,A6,front
Audi,2300,vagon,250,2.5,Diesel,no,2001,A6,full
Audi,2350,vagon,250,NA,Diesel,no,2001,A6,front
Audi,2500,sedan,180,NA,Petrol,no,2000,A4,front
BMW,0,crossover,8,2,Diesel,yes,2016,X5,full
Audi,3700,vagon,273,2.5,Diesel,no,2003,A6,front
Hyundai,14500,crossover,102,2.2,Diesel,yes,2008,Santa FE,full
BMW,30500,sedan,73,2,Petrol,yes,2013,520,rear
Hyundai,29999,crossover,52,2.2,Diesel,yes,2014,Santa FE,full
BMW,89999,crossover,17,4.4,Petrol,yes,2015,X6 M,full
Audi,37800,other,126,3,Diesel,yes,2010,Q7,full
BMW,8500,sedan,284,1.9,Gas,yes,2000,316,rear
BMW,2550,sedan,280,1.6,Petrol,no,2000,316,rear
Audi,4150,sedan,220,2.5,Diesel,no,1999,A8,front
Audi,46000,sedan,170,4.2,Diesel,yes,2011,A8,full
Audi,2411,sedan,240,1.6,Other,yes,1987,80,front
Hyundai,9600,sedan,98,1.4,Petrol,yes,2011,Accent,front
BMW,8000,sedan,330,NA,Diesel,yes,1997,525,rear
BMW,34600,crossover,163,5,Petrol,yes,2011,X5 M,full
Audi,1300,sedan,250,NA,Gas,no,1994,80,front
Hyundai,8900,sedan,138,1.4,Petrol,yes,2011,Accent,front
Audi,24900,sedan,163,4.2,Diesel,yes,2008,A8,full
BMW,63500,crossover,33,3,Petrol,yes,2015,X5,full
Hyundai,6200,hatch,121,1.4,Gas,yes,2008,Getz,front
BMW,1500,sedan,270,2.5,Diesel,no,1992,525,rear
BMW,26900,crossover,170,3,Diesel,yes,2008,X5,full
BMW,8500,other,265,2.8,Gas,yes,1998,328,rear
BMW,6400,other,220,2.5,Petrol,yes,1997,323,rear
Audi,3600,sedan,374,2.5,Diesel,no,2001,A8,full
BMW,28900,sedan,78,2,Petrol,yes,2012,528,rear
BMW,42000,sedan,5,2,Petrol,yes,2016,520,rear
Hyundai,25600,crossover,94,2,Diesel,yes,2013,IX35,full
Audi,2850,vagon,280,2.5,Diesel,no,1999,A6,
BMW,75555,sedan,30,4.4,Petrol,yes,2014,550,full
BMW,42900,sedan,2,2,Petrol,yes,2016,520,rear
BMW,26999,crossover,180,4.8,Gas,yes,2008,X5,full
BMW,6500,sedan,298,2.5,Petrol,yes,1998,523,rear
Audi,23800,crossover,205,4.2,Gas,yes,2007,Q7,full
Hyundai,39900,crossover,0,2.2,Diesel,yes,2016,Santa FE,full
BMW,2200,sedan,303,2.5,Diesel,no,1999,525,rear
BMW,3100,vagon,1,2,Diesel,no,2002,320,rear
BMW,0,crossover,5,3,Diesel,yes,2016,X6,full
Hyundai,37400,crossover,0,2.2,Diesel,yes,2016,Santa FE,full
Hyundai,18900,crossover,145,2,Gas,yes,2011,IX35,full
BMW,0,sedan,240,2.8,Gas,yes,1997,528,rear
Hyundai,10800,crossover,142,2,Diesel,yes,2007,Tucson,full
Audi,4850,sedan,270,2.6,Petrol,yes,1995,A6,front
Audi,16000,sedan,250,2,Diesel,yes,2008,A6,
BMW,13700,crossover,270,4.6,Gas,yes,2004,X5,full
BMW,2900,vagon,236,2,Diesel,no,2001,320,rear
Hyundai,16300,crossover,125,2.7,Gas,yes,2007,Santa FE,full
Hyundai,10800,crossover,106,2,Gas,yes,2007,Tucson,full
BMW,10999,sedan,225,3,Diesel,yes,2003,530,rear
BMW,6500,sedan,335,2.8,Petrol,yes,1996,528,rear
BMW,32500,crossover,152,3,Diesel,yes,2008,X5,full
Audi,29602.95,sedan,1,1.4,Petrol,yes,2016,A4,front
BMW,15000,other,205,NA,Petrol,yes,2004,530,rear
BMW,13900,crossover,184,3,Gas,yes,2004,X5,full
BMW,11400,sedan,206,3,Petrol,yes,2003,530,rear
Hyundai,21166.665,sedan,0,1.8,Petrol,yes,2015,Elantra,front
Hyundai,11200,crossover,78,2,Petrol,yes,2009,Tucson,full
Audi,20500,sedan,155,3,Petrol,yes,2010,A6,full
Hyundai,13800,other,57,1.6,Petrol,yes,2012,Elantra,front
Audi,2650,vagon,270,2.5,Diesel,no,2001,A6,front
BMW,13500,sedan,233,3,Diesel,yes,2003,530,rear
Audi,6399,vagon,230,2.5,Diesel,yes,1999,A6,front
Audi,3800,sedan,270,2.5,Diesel,no,2000,A6,front
Hyundai,9300,sedan,90,1.6,Petrol,yes,2011,Elantra,front
BMW,21500,other,72,3,Petrol,yes,2007,Z4,rear
BMW,86999,crossover,0,3,Diesel,yes,2016,X6,full
BMW,2450,sedan,328,2.5,Diesel,no,1996,525,rear
Hyundai,10500,crossover,120,2.7,Petrol,yes,2006,Tucson,full
BMW,17900,other,98,3,Petrol,yes,2007,Z4,rear
Audi,55000,crossover,65,2.99,Diesel,yes,2013,A6 Allroad,full
Hyundai,28888,crossover,20,2.2,Diesel,yes,2013,Santa FE,full
Audi,0,crossover,1,3,Diesel,yes,2016,A6 Allroad,full
Hyundai,27768.975,crossover,1,2.2,Diesel,yes,2015,Santa FE,front
BMW,39600,crossover,98,3,Petrol,yes,2011,X6,full
BMW,30500,sedan,630,NA,Petrol,yes,2010,523,rear
BMW,29500,sedan,850,NA,Petrol,yes,2011,523,rear
Hyundai,11999,sedan,162,2.2,Diesel,yes,2006,Santa FE,full
Hyundai,9500,crossover,87,2,Gas,yes,2008,Tucson,
BMW,33000,sedan,147,3,Diesel,yes,2009,730,rear
Hyundai,15999,crossover,87,2.4,Gas,yes,2011,Santa FE,full
BMW,49900,other,82,3,Petrol,yes,2012,640,rear
Hyundai,12333,crossover,78,2,Petrol,yes,2009,Tucson,full
BMW,16800,crossover,250,3,Diesel,yes,2004,X5,full
BMW,23999,crossover,194,3,Petrol,yes,2007,X5,full
Hyundai,10200,sedan,59,1.4,Petrol,yes,2012,Accent,front
Hyundai,9550,crossover,138,2,Gas,yes,2007,Tucson,front
Audi,0,crossover,65,2.99,Diesel,yes,2013,A6 Allroad,full
Audi,16999,vagon,140,4.2,Petrol,yes,2007,A6 Allroad,full
Hyundai,14900,sedan,74,2.4,Gas,yes,2012,Sonata,front
Hyundai,33500,sedan,0,2.4,Petrol,yes,2016,Sonata,front
BMW,1650,sedan,270,1.8,Petrol,no,1995,318,rear
BMW,3150,sedan,200,2,Diesel,no,1999,320,rear
Hyundai,21900,sedan,110,3,Petrol,yes,2012,Grandeur,front
Audi,0,vagon,0,3,Diesel,yes,2016,A6 Allroad,full
BMW,99999,other,0,3,Petrol,yes,2016,640,full
Audi,7750,sedan,259,3,Diesel,no,2005,A6,full
BMW,16500,other,122,2.2,Petrol,yes,2005,520,rear
BMW,12600,sedan,219,3.6,Petrol,yes,2002,735,rear
BMW,3100,sedan,315,2.5,Diesel,no,1998,525,rear
Hyundai,20300,crossover,67,2,Diesel,yes,2012,IX35,full
Hyundai,20300,crossover,55,2,Diesel,yes,2012,IX35,full
BMW,20500,crossover,73,2,Petrol,yes,2011,X1,rear
BMW,5000,sedan,400,2.5,Petrol,yes,1991,525,rear
Audi,25500,vagon,181,3,Petrol,yes,2009,A6 Allroad,full
BMW,8200,sedan,210,3.5,Petrol,yes,1999,735,rear
BMW,37000,sedan,130,3,Petrol,yes,2011,535,full
BMW,3300,sedan,250,3,Diesel,no,2000,530,rear
BMW,14900,vagon,221,2,Diesel,yes,2008,520,rear
BMW,2550,vagon,312,2.5,Diesel,no,1999,525,rear
Hyundai,22800,crossover,0,2,Petrol,yes,2016,Tucson,front
BMW,45000,sedan,110,NA,Other,yes,2012,535,full
BMW,26999,sedan,131,2,Diesel,yes,2011,520,rear
BMW,13300,vagon,157,2,Diesel,yes,2007,520,rear
Audi,72000,sedan,55,6.3,Petrol,yes,2012,A8,full
Hyundai,26000,crossover,33,2,Diesel,yes,2013,IX35,full
BMW,3500,sedan,272,2,Diesel,yes,2000,320,rear
Audi,36100,sedan,75,3,Diesel,yes,2011,A7,full
BMW,29500,crossover,189,3,Diesel,yes,2009,X5,full
BMW,39000,crossover,180,3,Diesel,yes,2011,X5,full
BMW,10700,sedan,243,3,Diesel,yes,2002,530,rear
BMW,31500,crossover,130,3,Diesel,yes,2010,X5,full
BMW,33700,crossover,134,4.4,Petrol,yes,2009,X6,full
BMW,20999,crossover,170,4.8,Petrol,yes,2008,X5,full
BMW,20500,other,114,NA,Other,yes,2008,325,
Hyundai,13300,crossover,110,2.2,Diesel,yes,2008,Santa FE,full
Audi,17700,other,70,2,Petrol,yes,2009,TT,
Hyundai,13900,crossover,103,2.2,Diesel,yes,2007,Santa FE,full
Hyundai,24250,crossover,1,2,Petrol,yes,2016,Tucson,full
BMW,36400,crossover,80,3,Petrol,yes,2011,X5,full
Hyundai,18800,crossover,27,2,Petrol,yes,2012,IX35,full
Hyundai,12200,crossover,92,NA,Petrol,yes,2009,Tucson,full
Audi,9999,sedan,190,2.5,Diesel,yes,2003,A6,front
BMW,22700,crossover,216,4.8,Petrol,yes,2007,X5,full
Audi,8800,sedan,205,1.8,Petrol,yes,2003,A4,front
Hyundai,12999,crossover,145,2.7,Petrol,yes,2009,Santa FE,full
BMW,75000,crossover,16,3,Diesel,yes,2015,X6,full
BMW,3350,vagon,295,2,Diesel,no,2002,320,rear
Hyundai,9500,sedan,155,3.3,Petrol,yes,2006,Sonata,front
Audi,31700,sedan,32,1.8,Petrol,yes,2014,A4,front
Audi,2999,vagon,320,NA,Diesel,no,1999,A6,front
Audi,29000,vagon,213,3,Diesel,yes,2010,A6 Allroad,full
BMW,3800,sedan,304,1.9,Gas,no,2000,318,rear
BMW,4400,sedan,260,2,Gas,yes,1990,520,rear
Hyundai,10800,crossover,212,2,Diesel,yes,2009,Tucson,full
Audi,73500,sedan,53,6.3,Petrol,yes,2013,A8,full
BMW,35500,crossover,33,2,Diesel,yes,2014,X1,full
BMW,34900,crossover,117,3,Petrol,yes,2011,X5,full
BMW,25500,sedan,148,3,Diesel,yes,2007,535,rear
Audi,55000,hatch,24,2.8,Other,yes,2014,A7,full
Audi,3550,sedan,196,2.8,Petrol,no,1997,A8,front
BMW,2222,sedan,268,1.8,Petrol,no,1996,318,
Audi,68500,sedan,44,6.3,Petrol,yes,2012,A8,full
BMW,29999,sedan,130,NA,Petrol,yes,2009,750,
Audi,3600,vagon,200,2.5,Diesel,yes,1999,A6,front
BMW,41500,vagon,42,2,Petrol,yes,2012,X3,full
BMW,69500,sedan,62,4.4,Petrol,yes,2013,750,full
BMW,20900,crossover,230,3,Diesel,yes,2006,X5,full
BMW,60500,sedan,110,3,Diesel,yes,2011,740,full
Audi,42700,crossover,75,3,Diesel,yes,2013,Q7,full
BMW,22900,other,25,3,Petrol,yes,2008,325,rear
Audi,81500,sedan,0,3,Petrol,yes,2016,A7,full
Hyundai,19900,sedan,15,1.6,Petrol,yes,2016,Elantra,front
Hyundai,9700,crossover,130,2,Gas,yes,2007,Tucson,full
BMW,3099,sedan,230,3,Diesel,no,2003,530,rear
BMW,8300,sedan,200,4.4,Petrol,yes,2001,740,rear
BMW,2999,sedan,299,NA,Diesel,no,2000,530,rear
Hyundai,14200,sedan,41,1.8,Gas,yes,2014,Elantra,front
Audi,44800,crossover,100,3,Diesel,yes,2014,Q7,full
BMW,6100,sedan,266,3.5,Petrol,no,1997,535,rear
BMW,13900,sedan,262,4,Diesel,yes,2003,740,rear
BMW,8500,sedan,365,3,Diesel,yes,2001,530,rear
BMW,21900,other,25,2.5,Petrol,yes,2007,325,rear
Hyundai,21433.425,crossover,1,2,Petrol,yes,2016,Tucson,front
Audi,33300,crossover,71,2,Petrol,yes,2011,Q5,full
BMW,6300,sedan,241,2.8,Gas,yes,1995,328,rear
BMW,24000,crossover,108,2,Diesel,yes,2012,X1,full
Hyundai,12300,sedan,48,1.6,Petrol,yes,2013,Accent,front
Audi,4000,sedan,260,99.99,Diesel,no,2000,A6,full
Hyundai,11500,crossover,48,NA,Petrol,yes,2007,Tucson,
Hyundai,23500,sedan,72,3,Petrol,yes,2013,Grandeur,front
BMW,4500,sedan,370,4,Petrol,yes,1993,540,rear
Hyundai,7100,hatch,88,1.4,Petrol,yes,2008,Getz,front
Audi,13900,sedan,150,NA,Petrol,yes,2006,A8,full
Audi,8500,sedan,247,2.5,Diesel,yes,2001,A6,front
Hyundai,9900,crossover,140,2,Gas,yes,2007,Tucson,full
BMW,77777,sedan,8,4.4,Petrol,yes,2014,750,full
Audi,11950,sedan,190,3,Petrol,yes,2006,A6,full
BMW,7200,sedan,270,3,Diesel,no,2004,530,rear
BMW,38888,vagon,5,0.65,Other,yes,2015,I3,rear
BMW,6950,sedan,320,4.4,Gas,yes,1997,740,rear
Hyundai,12356.175,sedan,1,1.4,Petrol,yes,2015,Accent,front
Hyundai,15246.075,sedan,1,1.6,Petrol,yes,2016,Elantra,front
Hyundai,5500,hatch,135,1.6,Petrol,yes,2005,Getz,front
BMW,7200,sedan,255,2.8,Petrol,yes,1998,328,rear
BMW,3099,sedan,320,2,Diesel,no,2000,320,rear
Hyundai,6750,crossover,178,2,Diesel,no,2006,Tucson,full
BMW,8899,sedan,170,2.2,Petrol,yes,2001,520,rear
Audi,51500,crossover,27,3,Diesel,yes,2013,Q7,full
Audi,33500,sedan,42,2,Petrol,yes,2013,A5,full
Hyundai,8000,sedan,98,1.4,Petrol,yes,2011,Accent,front
Audi,36500,crossover,115,3,Diesel,yes,2010,Q7,full
BMW,34400,crossover,37,2,Diesel,yes,2013,X1,full
Audi,35500,crossover,130,3,Diesel,yes,2010,Q7,full
BMW,34500,other,160,3,Diesel,yes,2011,X5,full
BMW,14600,sedan,116,2.5,Diesel,yes,2004,525,rear
Audi,3300,vagon,300,2.5,Diesel,no,1999,A6,front
Audi,9800,vagon,257,2.5,Diesel,yes,2003,A6,front
Audi,9600,vagon,230,2.5,Diesel,yes,2004,A6,front
Audi,19300,sedan,113,1.8,Petrol,yes,2009,A4,front
BMW,4300,sedan,200,2,Diesel,no,2002,320,rear
BMW,29000,sedan,170,2,Diesel,yes,2011,520,rear
BMW,2900,vagon,230,2,Diesel,no,2001,320,rear
Audi,9900,vagon,284,2.5,Diesel,yes,2004,A6,full
BMW,10800,sedan,246,3,Diesel,yes,2003,530,rear
BMW,10900,sedan,245,3,Diesel,yes,2003,530,rear
Hyundai,13900,sedan,75,1.6,Petrol,yes,2012,Elantra,front
Audi,49700,crossover,80,3,Diesel,yes,2013,Q7,full
BMW,49000,sedan,58,4.4,Other,yes,2011,750,rear
Hyundai,0,crossover,39,2.2,Diesel,yes,2012,Santa FE,full
BMW,46000,sedan,5,2,Petrol,yes,2016,520,rear
BMW,37000,sedan,95,4.4,Petrol,yes,2011,750,full
BMW,47000,other,5,2,Petrol,yes,2014,Z4,rear
Hyundai,14300,crossover,127,2.7,Gas,yes,2008,Santa FE,full
Audi,7000,vagon,210,3,Diesel,no,2006,A6,full
Audi,18300,vagon,190,2,Diesel,yes,2011,A6,front
Hyundai,11900,crossover,133,2.2,Diesel,yes,2008,Tucson,full
Audi,27500,sedan,150,2,Petrol,yes,2013,A6,full
Audi,3500,sedan,35,1.8,Gas,yes,1990,80,front
BMW,4550,sedan,200,2.8,Petrol,no,1997,528,rear
Audi,2700,sedan,234,2.5,Other,no,2000,A6,front
Hyundai,5950,hatch,98,1.6,Petrol,yes,2008,Getz,front
Hyundai,11999,hatch,42,1.6,Petrol,yes,2013,i30,
BMW,31800,sedan,115,3,Diesel,yes,2010,5 Series GT,rear
Hyundai,14800,sedan,52,NA,Petrol,yes,2012,Elantra,front
Audi,26000,sedan,105,2,Petrol,yes,2012,A6,front
Audi,9500,other,0,NA,Other,yes,2003,A6,
Hyundai,11200,sedan,57,1.4,Gas,yes,2011,Accent,
Audi,5000,sedan,280,2.3,Gas,yes,1992,100,front
Audi,9800,vagon,253,1.9,Diesel,yes,2002,A6,front
Audi,44800,crossover,95,3,Diesel,yes,2014,Q7,full
BMW,17100,crossover,188,3,Diesel,yes,2004,X5,full
Audi,22800,sedan,184,2.7,Diesel,yes,2010,A6,front
BMW,15000,sedan,137,2.2,Petrol,yes,2004,520,rear
Audi,3500,sedan,200,2.5,Diesel,no,2001,A8,front
Audi,6400,sedan,261,1.8,Gas,yes,2000,A6,front
Audi,4999,sedan,231,1.9,Diesel,no,2002,A6,front
Hyundai,12800,sedan,106,2,Petrol,yes,2012,Sonata,front
BMW,41000,crossover,80,3,Petrol,yes,2012,X6,full
BMW,69999,crossover,0,2.5,Diesel,yes,2016,X5,full
Audi,3900,vagon,232,2.5,Diesel,no,2003,A6,full
BMW,66666,crossover,0,2,Diesel,yes,2016,X5,full
Audi,23500,crossover,116,4.2,Petrol,yes,2008,Q7,full
Audi,51000,crossover,44,3,Diesel,yes,2014,Q7,full
Hyundai,16000,crossover,55,2,Gas,yes,2012,Tucson,full
Hyundai,10500,crossover,106,NA,Petrol,yes,2008,Tucson,full
BMW,12950,sedan,268,4,Diesel,yes,2004,740,rear
BMW,56500,crossover,45,3,Diesel,yes,2014,X6,full
Audi,9000,sedan,158,2,Gas,yes,2003,A4,front
BMW,52000,crossover,7,2,Diesel,yes,2015,X1,full
BMW,16300,crossover,258,4.4,Petrol,yes,2005,X5,full
BMW,17500,sedan,102,2,Petrol,yes,2011,320,rear
BMW,6100,sedan,438,2,Gas,yes,1997,320,rear
BMW,16500,crossover,230,3,Gas,yes,2004,X5,full
BMW,15000,vagon,245,3,Gas,yes,2006,530,full
Audi,13900,other,197,2,Diesel,yes,2006,A6,front
Hyundai,6800,sedan,140,1.5,Diesel,yes,2008,Accent,front
BMW,19999,crossover,227,3,Diesel,yes,2006,X5,full
Hyundai,11500,van,183,2.5,Diesel,yes,2008,H1 пасс.,rear
Audi,30650,vagon,35,2,Petrol,yes,2013,A4 Allroad,full
Hyundai,7500,sedan,100,1.4,Petrol,yes,2007,Accent,front
Hyundai,11200,crossover,90,2,Gas,yes,2008,Tucson,full
Audi,17500,sedan,94,1.8,Petrol,yes,2008,A4,front
Hyundai,7500,sedan,104,1.6,Petrol,yes,2010,Elantra,front
BMW,28500,crossover,160,4.8,Gas,yes,2008,X5,full
BMW,69999,crossover,1,2,Petrol,yes,2016,X5,full
BMW,42000,sedan,59,4.4,Petrol,yes,2009,750,rear
BMW,29999,other,73,2,Petrol,yes,2012,320,rear
BMW,4800,sedan,11,2.5,Diesel,yes,1994,325,rear
Hyundai,21400,crossover,63,2,Diesel,yes,2012,IX35,full
Audi,21800,vagon,172,2,Diesel,yes,2011,A4,front
BMW,4200,sedan,277,2,Petrol,yes,1991,320,rear
Audi,0,sedan,62,3,Petrol,yes,2013,A8,full
Hyundai,12650,other,55,1.4,Diesel,yes,2013,i30,front
BMW,10800,sedan,288,4.4,Gas,yes,2002,745,rear
BMW,7000,sedan,280,3,Petrol,yes,2001,530,rear
Audi,7500,vagon,240,2,Petrol,yes,2002,A4,front
BMW,2250,sedan,350,2.5,Diesel,yes,1998,525,rear
BMW,3900,sedan,380,3,Gas,yes,1989,530,rear
BMW,10000,sedan,274,4.4,Gas,yes,1998,540,rear
BMW,2600,sedan,270,2,Diesel,no,1998,320,rear
BMW,4500,sedan,140,3,Diesel,no,2000,530,rear
Audi,30999,sedan,108,2,Diesel,yes,2013,A6,front
BMW,1700,sedan,200,2,Diesel,no,2003,320,rear
BMW,50499,sedan,128,3,Diesel,yes,2013,730,full
BMW,18500,sedan,79,3,Diesel,no,2012,530,rear
Audi,90999,sedan,4,3,Diesel,yes,2015,A8,full
Audi,85555,sedan,40,3,Diesel,yes,2015,A8,full
Audi,2500,vagon,300,2.5,Diesel,no,2002,A6,front
Hyundai,13400,crossover,157,2.7,Gas,yes,2006,Santa FE,full
BMW,3500,sedan,300,3,Diesel,no,1999,530,rear
Hyundai,21700,crossover,63,2.2,Diesel,yes,2012,Santa FE,full
BMW,12000,sedan,237,3,Diesel,yes,2003,530,rear
Hyundai,26900,crossover,59,2.4,Petrol,yes,2013,Santa FE,
Hyundai,18300,hatch,0,1.4,Petrol,yes,2016,i20,front
BMW,19990,sedan,1,2,Diesel,yes,2008,320,rear
BMW,3500,sedan,185,2,Diesel,no,2002,320,rear
BMW,9700,sedan,267,2,Diesel,yes,2002,320,rear
BMW,2500,sedan,290,2,Diesel,no,1999,320,front
Hyundai,12500,crossover,134,2.7,Gas,yes,2007,Santa FE,full
BMW,7500,sedan,275,2,Gas,yes,1998,520,rear
BMW,4000,sedan,380,2,Petrol,yes,1991,320,rear
BMW,27900,sedan,170,3,Petrol,yes,2011,530,rear
Hyundai,19700,crossover,127,2.2,Diesel,yes,2012,Santa FE,full
BMW,17900,sedan,69,2,Petrol,yes,2008,320,rear
BMW,2500,sedan,242,3,Diesel,no,2001,530,rear
Hyundai,15600,other,134,2.7,Gas,yes,2008,Santa FE,full
BMW,12900,sedan,121,2,Petrol,yes,2007,318,rear
BMW,27500,sedan,100,2,Petrol,yes,2012,520,rear
Hyundai,11300,crossover,166,2,Petrol,yes,2008,Tucson,full
Audi,5300,other,182,2.5,Diesel,no,2002,A4,full
Audi,39999,crossover,45,2,Diesel,yes,2014,Q5,full
BMW,2899,sedan,260,2,Diesel,no,2000,320,rear
BMW,15500,sedan,216,2,Diesel,yes,2008,320,rear
BMW,13700,sedan,276,3,Diesel,yes,2004,530,rear
BMW,9800,sedan,350,3,Diesel,yes,2001,530,rear
Hyundai,53000,van,1,2.5,Diesel,yes,2016,H1 пасс.,full
BMW,7000,sedan,286,2.8,Petrol,yes,2001,520,rear
BMW,7000,other,226,2.5,Petrol,yes,1999,525,rear
Audi,43000,other,11,1.8,Petrol,yes,2015,A6,front
Hyundai,11500,sedan,65,1.6,Petrol,yes,2011,Elantra,front
Audi,18500,sedan,137,NA,Petrol,yes,2009,A6,front
Audi,4500,vagon,206,2.5,Diesel,no,2003,A6,full
BMW,2999,sedan,210,2,Other,no,1999,320,rear
Audi,27000,other,222,NA,Diesel,yes,2007,Q7,full
BMW,6900,sedan,280,2,Gas,yes,2000,320,rear
Audi,52999,crossover,112,4.2,Diesel,yes,2008,Q7,full
Hyundai,9950,other,74,2,Petrol,yes,2008,Coupe,front
BMW,8200,sedan,241,2,Petrol,yes,1998,320,rear
Audi,49500,crossover,44,3,Diesel,yes,2013,Q7,
Audi,48000,crossover,75,3,Diesel,yes,2013,Q7,full
Hyundai,11100,sedan,63,1.4,Petrol,yes,2013,Accent,front
BMW,32500,vagon,65,2,Petrol,yes,2014,328,rear
BMW,19990,other,164,NA,Gas,yes,2004,645,
Hyundai,6800,sedan,107,1.4,Gas,yes,2007,Accent,front
Audi,48000,crossover,126,3,Diesel,yes,2013,Q7,full
BMW,47900,crossover,178,4,Diesel,yes,2012,X5,
Hyundai,22600,crossover,89,2.2,Diesel,yes,2012,Santa FE,full
Audi,36000,vagon,40,3,Diesel,yes,2010,Q7,full
Audi,23000,crossover,180,3.6,Gas,yes,2007,Q7,full
Hyundai,6500,van,170,1.6,Petrol,yes,2005,Matrix,front
BMW,3500,sedan,334,2,Diesel,no,1999,320,rear
Hyundai,13500,crossover,168,2.2,Diesel,yes,2007,Santa FE,full
BMW,17500,vagon,125,3,Diesel,yes,2006,530,full
Audi,21000,hatch,34,1.4,Petrol,yes,2013,A3,front
BMW,58000,crossover,64,2,Diesel,yes,2015,X5,full
BMW,0,crossover,0,3,Diesel,yes,2016,X5,full
BMW,4000,sedan,230,2,Diesel,no,2003,320,rear
Audi,15000,vagon,154,2,Diesel,yes,2008,A6,front
Audi,19700,crossover,172,3.6,Petrol,yes,2007,Q7,full
Hyundai,12800,crossover,219,2.7,Gas,yes,2007,Santa FE,full
BMW,69999,crossover,71,4.4,Petrol,yes,2011,X5 M,full
Hyundai,9250,crossover,192,2,Diesel,yes,2008,Tucson,full
Hyundai,13838.175,hatch,1,1.6,Diesel,yes,2015,i30,front
BMW,12900,vagon,260,3,Diesel,yes,2004,330,rear
BMW,77777,crossover,1,3,Diesel,yes,2014,X6,full
Hyundai,12700,crossover,104,2,Gas,yes,2009,Tucson,full
BMW,17000,vagon,158,2,Diesel,yes,2010,320,rear
BMW,13700,sedan,254,3,Diesel,yes,2003,530,front
BMW,15300,sedan,250,2.5,Petrol,yes,2006,525,rear
Hyundai,6999,sedan,95,1.4,Gas,yes,2009,Accent,front
